Sample,Safety perception (y),Gender,Maritial status,Age,Educational level,Monthly house hold income,Vehicle ownership,Purpose of using the crossing,How much time do you typically wait at the zebra crossing,Are you aware of zebra crossing signs,Did you ever crossed road without using a zebra crossing,Should pedestrians attend road safety educational programmes,Have you done any road safety educational programme?,Safety at the crossing Prefrence,Pedestrian carelessness.,Driver inattentiveness,Pedestrian unawareness,Aggressive driver behaviour,Faded road signs.,Peak hour increases pedestrian accidents.,Fast moving vehicle increases pedestrian accidents.,Driver should always allow pedestrians to enter the intersection.,Strict application of law on vehicles makes you safe at zebra crossing.,Rumble strips and cat eyes before zebra crossing,Presence of a mid block,three dimesional,Refuge Island at a median,Curb Extension with raised zebra crossing,Non  skid footpath tiles,Sign board at 20 to 100 meters
1,1,0,0,2,4,2,0,3,4,3,3,4,1,1,1,2,1,1,2,1,1,4,4,5,4,4,4,3,2,3
2,2,0,0,2,4,2,0,3,4,5,4,4,1,3,1,3,1,3,4,4,2,2,4,2,3,4,4,2,4,4
3,2,0,1,3,2,1,0,4,4,5,3,4,0,4,1,2,4,2,3,3,2,3,4,2,5,2,3,4,3,4
4,3,0,0,2,2,2,0,4,3,4,2,3,0,3,3,2,3,2,2,3,2,4,5,3,4,5,5,3,4,5
5,3,0,0,2,4,1,0,3,3,5,2,2,0,4,3,2,4,2,4,4,4,2,2,4,2,4,3,4,3,4
6,1,0,1,2,2,1,0,1,5,2,4,3,0,4,3,3,1,1,3,2,3,3,5,5,3,1,4,1,4,2
7,1,0,1,3,2,1,0,1,4,2,2,3,0,2,4,3,1,2,4,5,3,2,5,2,3,3,4,2,3,4
8,2,0,1,3,2,2,0,5,3,4,4,5,0,2,3,4,1,1,5,5,2,1,3,1,2,3,3,3,4,3
9,2,0,0,2,3,2,0,4,4,4,3,3,0,3,3,4,2,4,2,5,2,1,4,3,2,4,1,3,4,3
10,1,1,0,2,2,1,0,4,4,2,4,4,0,1,3,4,2,4,2,5,2,1,4,1,3,3,3,3,1,4
11,3,0,1,3,2,1,0,4,4,4,3,4,0,1,2,3,2,4,2,5,2,1,2,4,3,4,2,4,3,4
12,3,0,0,2,2,1,0,4,4,3,3,4,0,4,2,4,3,3,4,5,4,3,2,3,3,4,2,4,3,4
13,3,0,0,2,2,1,0,4,2,5,4,3,0,2,3,2,3,2,2,3,2,3,4,4,3,4,3,4,4,4
14,2,1,0,2,2,1,0,4,5,4,2,4,0,2,3,2,4,3,2,3,2,4,4,3,4,4,4,4,4,3
15,1,1,1,3,2,2,0,3,4,5,3,5,0,2,3,5,3,5,3,3,4,3,4,1,1,1,4,1,3,2
16,2,0,0,2,1,1,0,3,5,4,4,4,0,2,4,2,3,1,1,3,2,3,5,5,2,5,2,4,3,4
17,1,0,0,2,3,1,0,3,5,5,3,5,0,2,1,3,4,2,2,4,3,4,3,2,3,4,3,4,3,4
18,1,1,0,2,3,1,0,3,5,3,4,4,0,2,2,4,2,4,2,4,3,4,2,3,4,2,4,3,4,4
19,2,0,1,3,2,1,0,3,5,4,3,5,0,4,2,3,2,3,2,4,3,4,2,3,4,2,4,2,4,3
20,2,0,1,3,2,2,1,4,3,3,3,4,1,2,3,3,4,2,4,4,3,4,2,2,3,2,3,4,2,3
21,3,0,0,2,3,1,0,5,4,4,2,4,0,2,4,3,4,3,4,5,3,2,4,5,5,4,4,3,3,3
22,2,1,1,3,2,2,0,3,3,5,4,2,0,4,5,4,3,4,2,5,4,3,2,1,3,2,4,3,4,4
23,2,0,0,2,2,1,0,4,4,3,4,2,1,2,3,4,3,4,3,3,4,4,2,3,2,4,2,4,2,4
24,3,0,0,3,5,1,0,5,4,5,4,4,1,4,5,3,4,2,3,3,2,2,4,3,4,3,4,3,4,3
25,1,0,0,2,2,1,0,3,4,5,4,4,0,4,5,2,5,5,3,4,2,2,4,1,3,4,3,2,4,2
26,3,0,0,2,4,1,2,3,4,5,4,4,1,3,3,2,4,2,4,3,4,4,2,3,3,2,4,2,4,2
27,1,0,1,2,5,3,1,4,3,4,4,4,1,3,3,2,5,4,3,3,2,4,4,4,3,4,4,4,4,4
28,1,0,1,3,1,1,2,3,5,3,2,3,0,4,5,3,4,3,3,4,3,2,3,1,3,3,2,3,2,3
29,3,1,0,2,1,1,1,4,3,5,2,4,0,2,5,3,5,3,5,5,2,1,4,4,3,4,4,4,4,4
30,1,1,0,2,5,1,0,3,5,4,2,4,1,3,4,5,3,4,2,4,2,2,4,4,3,4,4,4,4,3
31,2,0,1,2,5,1,0,3,5,5,2,4,0,4,5,3,4,3,3,5,3,1,3,3,2,3,2,3,3,2
32,2,0,1,3,1,1,0,2,5,3,2,2,1,1,5,4,5,4,3,5,4,1,2,2,1,1,2,2,1,2
33,3,0,1,4,3,2,2,4,3,5,4,4,1,2,5,2,3,2,3,2,2,4,3,4,3,3,4,3,2,3
34,1,0,1,3,1,1,0,4,5,2,4,5,1,4,5,5,4,4,5,1,2,4,3,4,4,3,4,4,3,4
35,3,1,1,3,4,3,2,3,4,3,4,4,1,2,5,3,5,3,5,3,4,3,2,1,3,4,4,4,3,4
36,1,0,0,2,3,2,0,3,5,4,3,4,1,3,5,2,5,3,3,4,3,2,3,3,2,3,3,3,3,3
37,2,0,0,2,2,1,0,5,4,4,5,4,1,1,5,3,5,3,4,3,2,3,4,3,4,2,1,2,4,3
38,3,0,1,3,4,3,2,4,5,5,5,4,0,4,4,5,4,3,4,4,3,2,3,2,3,2,1,3,1,3
39,2,1,0,2,5,2,2,4,3,5,3,2,1,4,5,3,4,3,5,3,4,3,2,3,2,3,2,3,4,4
40,2,0,0,2,4,3,1,4,2,3,4,3,1,4,5,4,3,5,3,3,4,3,3,3,2,3,3,4,3,4
41,4,0,0,1,2,2,0,5,1,2,3,2,1,4,1,4,1,4,2,4,5,2,1,2,2,1,3,2,4,2
42,1,0,1,4,5,4,2,5,5,3,4,1,1,2,2,4,2,4,2,3,5,5,1,2,5,1,3,1,3,3
43,3,1,0,2,1,2,2,4,3,4,3,2,1,4,2,3,2,3,4,4,5,3,4,1,4,4,4,4,4,3
44,2,1,1,4,5,5,2,4,3,3,3,3,1,2,5,3,5,3,4,4,3,1,3,2,1,2,2,1,2,5
45,1,1,1,2,3,3,2,5,1,3,4,4,1,2,5,4,5,4,5,5,4,1,2,1,2,1,2,1,2,2
46,3,0,1,2,5,3,2,4,3,4,3,4,0,4,5,3,3,3,4,3,4,3,3,3,3,4,4,3,4,4
47,4,1,1,2,3,2,2,4,3,5,2,4,1,4,5,3,5,3,4,3,4,3,2,4,4,4,4,3,4,4
48,3,1,0,1,1,1,0,2,1,3,2,4,0,3,5,5,5,4,4,4,5,2,2,3,3,3,2,3,2,3
49,2,1,1,3,4,3,1,4,3,4,4,4,1,3,5,4,5,3,4,4,3,2,3,2,3,1,3,2,3,2
50,3,1,0,2,3,1,0,3,5,4,2,5,1,2,5,3,4,3,4,3,4,3,4,5,5,4,3,4,3,4
51,2,0,1,2,4,2,1,1,2,3,4,5,1,1,2,1,2,1,2,2,2,4,4,4,5,4,4,4,4,4
52,3,1,1,2,2,2,0,3,3,5,4,4,1,1,2,2,2,2,2,1,1,5,4,5,5,4,5,4,5,4
53,4,1,1,2,2,2,0,3,2,5,3,5,1,4,2,2,2,2,2,2,1,4,5,4,5,4,5,4,5,4
54,1,1,0,2,3,2,0,3,2,3,3,5,1,1,2,1,2,1,2,1,2,5,4,5,4,5,5,5,5,5
55,1,0,1,2,4,3,2,3,2,5,4,4,1,4,2,2,2,2,1,2,2,4,4,5,5,4,4,4,4,4
56,1,0,0,2,4,2,1,3,2,5,3,3,1,2,2,1,2,1,2,2,1,4,5,4,5,5,5,4,4,4
57,4,0,0,2,3,2,1,3,2,5,3,4,1,2,2,1,2,1,2,2,1,5,5,5,5,5,5,5,5,5
58,2,0,1,2,4,2,1,1,2,5,3,4,1,2,2,2,2,2,2,2,2,4,4,4,5,5,5,4,4,4
59,2,0,0,2,4,3,2,1,2,4,3,4,1,2,2,1,1,2,1,2,1,4,5,4,5,4,5,4,5,5
60,3,0,0,2,2,2,0,4,2,5,2,5,1,2,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,5
61,1,0,0,1,3,2,1,4,2,3,2,5,1,2,2,1,2,1,2,1,2,5,4,4,5,4,5,4,5,4
62,2,0,1,2,4,3,0,4,2,3,2,3,1,1,2,1,2,1,2,1,1,5,4,5,4,5,4,4,3,4
63,2,0,0,3,3,2,0,4,2,3,3,5,1,2,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
64,2,0,0,2,4,3,1,3,2,3,2,4,0,2,1,2,2,2,2,1,1,4,4,4,5,4,5,4,4,4
65,2,0,1,1,2,1,0,3,2,3,3,4,0,1,2,2,1,1,3,1,2,5,5,4,5,4,5,4,5,4
66,1,0,0,2,2,3,1,3,4,4,2,5,1,4,2,2,2,1,2,2,1,4,5,5,4,5,4,5,4,5
67,1,1,1,2,4,3,0,3,4,2,3,4,0,3,1,1,3,2,1,1,1,4,5,4,5,4,5,4,5,4
68,1,0,1,2,2,2,1,3,2,5,3,3,0,2,2,2,1,1,2,2,2,3,4,4,4,3,4,4,4,4
69,1,0,1,2,2,2,0,3,5,4,3,5,1,3,3,2,1,1,2,2,1,5,5,5,5,4,4,5,4,5
70,2,0,0,2,5,3,2,3,5,4,2,5,1,2,2,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4
71,5,0,0,2,5,3,0,4,2,3,2,4,1,1,2,1,2,1,2,2,2,3,4,4,3,3,4,5,3,4
72,2,0,1,2,4,2,1,1,3,4,3,3,1,1,5,2,1,1,1,1,3,5,5,1,5,5,5,5,5,5
